,field_of_study,top_keyword
0,MEDI,"inch, mood, airworthiness"
1,ENGI,"moodle, start, som"
2,CHEM,"farmlands, cu, prophase"
3,BUSI,"cctv, carboxylic, incidental"
4,BIOC,"branching, pae, nomenclature"
5,DECI,"chairs, disagreement, transportation"
6,MATE,"ibu, catalyst, steering"
7,COMP,"aerial, capacity, steering"
8,PHYS,"gravity, materials, astronomy"
9,ENVI,"pyrene, machine, firefighting"
10,AGRI,"branching, mbo, nomenclature"
11,ENER,"symmetry, hybrid, powertrain"
12,SOCI,"moodle, dams, lane"
13,VETE,"felids, secreting, fables"
14,NEUR,"spicy, justice, adventures"
15,ECON,"universities, atrocities, buying"
16,EART,"avs, source, contingency"
17,MATH,"letters, roof, adventures"
18,MULT,"branching, l1, arctic"
19,IMMU,"flour, hominis, sports"
20,PHAR,"farmlands, cur, longifolia"
21,DENT,"learning, pulp, manufactured"
22,CENG,"sf, mixer, prophase"
23,NURS,"sexuality, stroke, alexithymia"
24,HEAL,"flour, hearing, dialectics"
25,PSYC,"procrastinators, multimedia, buying"
26,ARTS,"elderly, fashion, longform"
