dc:title,prism:publicationName,prism:coverDate
Social Progress for Resilient Regions,Region,2018-12-31
Response: Fleischhauer and Czardybon evade the burden of proof,Studies in Language,2018-12-31
Fashion language and translatology,Babel,2018-12-31
A pragmatic framework to note-taking in consecutive interpretation,Babel,2018-12-31
An Analytic Approximation to the Density of Twin Primes,Recoletos Multidisciplinary Research Journal,2018-12-31
DANCE MOTIFS ON PREHISTORIC POTTERY FROM EASTERN CROATIA,Vjesnik Arheoloskog Muzeja u Zagrebu,2018-12-31
Ricoeur’s Hermeneutics: Transforming Political Structures into Just Institutions through the Critical Appropriation of Political Power,Recoletos Multidisciplinary Research Journal,2018-12-31
Socio-Economic Indicators of Coastal Resource Management Participation: The Bataan Case,Recoletos Multidisciplinary Research Journal,2018-12-31
Geographic Information System-Based Suitability Analysis for Potential Shallow Tube-Well Irrigation Development,Recoletos Multidisciplinary Research Journal,2018-12-31
Energy Conservation in Academic Institutions: An Application of Theory of Planned Behavior,Recoletos Multidisciplinary Research Journal,2018-12-31
From perfect to narrative tense: The development of an evidential meaning examined generally and in the Even language,Studies in Language,2018-12-31
ZBOROVANJE AMERIŠKEGA ZDRUŽENJA GEOGRAFOV 2018,Dela,2018-12-31
PROJEKT PO KREATIVNI POTI DO ZNANJA 2017–2020: STANJE IN POTENCIALI RABE VODNIH VIROV NA OBMOČJU OBČINE VITANJE S POUDARKOM NA PITNI VODI – H2O_VITANJE,Dela,2018-12-31
Proportionality in Public Health Regulation: The Case of Dietary Supplements,Food Ethics,2018-12-31
The constructionalization and constructional change of noncanonical V-NP expressions in Mandarin Chinese,Studies in Language,2018-12-31
Making the Animals on the Plate Visible: Anglophone Celebrity Chef Cookbooks Ranked by Sentient Animal Deaths,Food Ethics,2018-12-31
The translator's ethics: Visible or invisible; culpable or innocent; conscious or unconscious,Babel,2018-12-31
Pisa and Pirls: The effects of culture and school environment,Pisa And Pirls: The Effects Of Culture And School Environment,2018-12-31
Weaving the common threads of simulation and formation studies in archaeology,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Theorising the digital: A call to action for the archaeological community,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
"From survey, to 3D modelling, to 3D printing: Bramante's Nymphaeum Colonna at Genazzano",CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
A virtual reconstruction of the Sun Temple of Niuserra: From scans to ABIM,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Les gestes retrouves: A 3D visualization approach to the functional study of early upper palaeolithic ground stones,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Sculptures in the semantic web using semantic technologies for the deep integration of research items in ARIADNE,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
New actualities for mediterranean ancient theaters: The ATHENA project lesson,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
"Linked open data for numismatic library, archive and museum integration",CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
"Sustainability = Separation: Keeping database structure, domain structure and interface separate",CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Is that a good concept?,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Integrated methodologies for knowledge and valorisation of the Roman Casinum City,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
